time,timestamp,open,high,low,close,volume
2026-05-20 20:55:00,1779281700,4501.2,4501.8,4496.6,4498.8,1335.0
2026-05-20 21:00:00,1779282000,4498.9,4504.3,4496.5,4500.1,2743.0
2026-05-20 21:05:00,1779282300,4500.6,4504.6,4499.1,4501.5,1272.0
2026-05-20 21:10:00,1779282600,4501.5,4509.3,4500.2,4507.9,1520.0
2026-05-20 21:15:00,1779282900,4507.8,4508.3,4501.3,4502.0,1050.0
2026-05-20 21:20:00,1779283200,4502.1,4503.0,4496.3,4496.7,1326.0
2026-05-20 21:25:00,1779283500,4496.5,4497.5,4491.7,4492.0,1923.0
2026-05-20 21:30:00,1779283800,4492.1,4495.9,4490.5,4494.3,2254.0
2026-05-20 21:35:00,1779284100,4494.2,4495.8,4487.4,4488.0,2841.0
2026-05-20 21:40:00,1779284400,4488.3,4493.4,4485.6,4492.6,2510.0
2026-05-20 21:45:00,1779284700,4492.7,4495.0,4488.6,4489.6,2097.0
2026-05-20 21:50:00,1779285000,4489.6,4492.2,4487.2,4488.3,1288.0
2026-05-20 21:55:00,1779285300,4488.3,4488.9,4484.6,4485.7,1889.0
2026-05-20 22:00:00,1779285600,4485.8,4487.9,4483.2,4484.0,1870.0
2026-05-20 22:05:00,1779285900,4483.9,4484.3,4477.4,4478.9,2710.0
2026-05-20 22:10:00,1779286200,4478.6,4483.3,4469.3,4479.0,5583.0
2026-05-20 22:15:00,1779286500,4479.7,4506.8,4478.9,4501.6,8627.0
2026-05-20 22:20:00,1779286800,4501.4,4514.1,4498.5,4505.5,6774.0
2026-05-20 22:25:00,1779287100,4505.4,4509.8,4501.3,4509.6,2585.0
2026-05-20 22:30:00,1779287400,4509.7,4531.9,4509.6,4527.7,7117.0
2026-05-20 22:35:00,1779287700,4527.6,4530.2,4518.2,4526.8,3684.0
2026-05-20 22:40:00,1779288000,4526.7,4526.9,4520.2,4523.8,1948.0
2026-05-20 22:45:00,1779288300,4524.0,4527.2,4519.4,4525.0,1873.0
2026-05-20 22:50:00,1779288600,4525.1,4533.3,4524.0,4532.8,2459.0
2026-05-20 22:55:00,1779288900,4532.5,4540.8,4532.0,4534.4,3375.0
2026-05-20 23:00:00,1779289200,4534.3,4539.2,4532.6,4533.5,1955.0
2026-05-20 23:05:00,1779289500,4534.0,4535.3,4527.0,4529.6,2267.0
2026-05-20 23:10:00,1779289800,4529.7,4530.4,4526.5,4528.0,1439.0
2026-05-20 23:15:00,1779290100,4528.0,4557.5,4527.9,4546.7,8232.0
2026-05-20 23:20:00,1779290400,4546.6,4549.0,4539.3,4539.8,2649.0
2026-05-20 23:25:00,1779290700,4539.3,4541.0,4531.9,4532.8,2255.0
2026-05-20 23:30:00,1779291000,4532.8,4538.5,4531.1,4538.2,1692.0
2026-05-20 23:35:00,1779291300,4538.4,4542.5,4538.0,4541.0,1537.0
2026-05-20 23:40:00,1779291600,4541.0,4542.8,4537.8,4540.2,1146.0
2026-05-20 23:45:00,1779291900,4540.3,4541.2,4538.4,4540.6,752.0
2026-05-20 23:50:00,1779292200,4540.6,4541.2,4535.4,4536.6,847.0
2026-05-20 23:55:00,1779292500,4536.6,4537.3,4530.3,4532.1,1817.0
2026-05-21 00:00:00,1779292800,4532.3,4535.6,4531.5,4535.4,919.0
2026-05-21 00:05:00,1779293100,4535.4,4538.5,4534.5,4536.4,839.0
2026-05-21 00:10:00,1779293400,4536.5,4538.1,4534.6,4536.8,572.0
2026-05-21 00:15:00,1779293700,4536.6,4536.8,4532.7,4533.8,520.0
2026-05-21 00:20:00,1779294000,4533.9,4534.6,4527.5,4529.1,1465.0
2026-05-21 00:25:00,1779294300,4529.0,4530.9,4527.0,4529.2,994.0
2026-05-21 00:30:00,1779294600,4529.4,4532.6,4527.4,4528.8,1107.0
2026-05-21 00:35:00,1779294900,4528.9,4531.8,4528.5,4530.7,525.0
2026-05-21 00:40:00,1779295200,4530.7,4537.2,4530.4,4537.0,1177.0
2026-05-21 00:45:00,1779295500,4536.9,4538.3,4533.2,4535.3,997.0
2026-05-21 00:50:00,1779295800,4535.5,4536.5,4534.0,4535.8,470.0
2026-05-21 00:55:00,1779296100,4535.7,4538.8,4534.0,4537.6,762.0
2026-05-21 01:00:00,1779296400,4537.9,4538.2,4534.7,4535.3,641.0
2026-05-21 01:05:00,1779296700,4535.5,4539.2,4534.2,4538.9,595.0
2026-05-21 01:10:00,1779297000,4539.0,4542.2,4536.6,4537.7,1596.0
2026-05-21 01:15:00,1779297300,4537.8,4539.3,4536.4,4538.7,604.0
2026-05-21 01:20:00,1779297600,4538.5,4540.5,4536.5,4537.2,577.0
2026-05-21 01:25:00,1779297900,4537.4,4540.0,4534.2,4535.7,1350.0
2026-05-21 01:30:00,1779298200,4535.8,4538.5,4533.1,4534.0,939.0
2026-05-21 01:35:00,1779298500,4534.0,4539.8,4533.4,4539.3,1103.0
2026-05-21 01:40:00,1779298800,4539.0,4539.3,4536.0,4536.3,416.0
2026-05-21 01:45:00,1779299100,4536.6,4538.5,4535.4,4536.8,381.0
2026-05-21 01:50:00,1779299400,4536.9,4537.7,4535.1,4535.4,199.0
2026-05-21 01:55:00,1779299700,4535.5,4535.9,4533.5,4534.8,395.0
2026-05-21 02:00:00,1779300000,4534.8,4536.5,4532.0,4535.7,781.0
2026-05-21 02:05:00,1779300300,4535.8,4537.2,4533.8,4536.2,338.0
2026-05-21 02:10:00,1779300600,4536.4,4537.7,4535.5,4536.3,288.0
2026-05-21 02:15:00,1779300900,4536.4,4540.2,4536.4,4539.5,519.0
2026-05-21 02:20:00,1779301200,4539.5,4540.0,4536.0,4537.2,411.0
2026-05-21 02:25:00,1779301500,4536.9,4538.6,4535.1,4538.4,431.0
2026-05-21 02:30:00,1779301800,4538.7,4543.5,4538.6,4543.3,834.0
2026-05-21 02:35:00,1779302100,4543.4,4547.1,4543.2,4546.6,1044.0
2026-05-21 02:40:00,1779302400,4546.5,4546.8,4540.4,4541.2,848.0
2026-05-21 02:45:00,1779302700,4540.7,4544.3,4540.2,4543.2,463.0
2026-05-21 02:50:00,1779303000,4543.3,4546.7,4542.5,4545.5,417.0
2026-05-21 02:55:00,1779303300,4545.4,4548.5,4545.1,4545.7,808.0
2026-05-21 03:00:00,1779303600,4545.9,4548.2,4545.4,4545.8,410.0
2026-05-21 03:05:00,1779303900,4545.7,4547.4,4544.7,4546.5,284.0
2026-05-21 03:10:00,1779304200,4546.2,4548.5,4546.1,4546.9,365.0
2026-05-21 03:15:00,1779304500,4547.1,4549.2,4546.7,4548.9,458.0
2026-05-21 03:20:00,1779304800,4548.9,4549.3,4546.2,4547.4,418.0
2026-05-21 03:25:00,1779305100,4547.3,4548.9,4546.8,4548.2,302.0
2026-05-21 03:30:00,1779305400,4548.2,4550.5,4548.1,4548.7,558.0
2026-05-21 03:35:00,1779305700,4548.8,4553.7,4547.8,4551.4,1019.0
2026-05-21 03:40:00,1779306000,4551.2,4552.5,4548.0,4549.5,698.0
2026-05-21 03:45:00,1779306300,4549.7,4550.7,4548.4,4549.1,449.0
2026-05-21 03:50:00,1779306600,4548.4,4551.3,4548.1,4550.6,559.0
2026-05-21 03:55:00,1779306900,4550.5,4551.3,4547.7,4548.2,923.0
2026-05-21 04:00:00,1779307200,4548.3,4550.6,4548.2,4549.4,493.0
2026-05-21 04:05:00,1779307500,4549.3,4549.8,4548.0,4549.1,268.0
2026-05-21 04:10:00,1779307800,4549.2,4553.2,4548.2,4549.4,420.0
2026-05-21 04:15:00,1779308100,4549.7,4551.2,4547.8,4550.1,292.0
2026-05-21 04:20:00,1779308400,4549.8,4549.8,4545.7,4548.1,615.0
2026-05-21 04:25:00,1779308700,4547.9,4549.5,4547.9,4548.4,233.0
2026-05-21 04:30:00,1779309000,4549.0,4549.2,4546.4,4546.9,260.0
2026-05-21 04:35:00,1779309300,4547.2,4547.7,4545.9,4546.3,168.0
2026-05-21 04:40:00,1779309600,4546.3,4547.0,4545.1,4545.9,276.0
2026-05-21 04:45:00,1779309900,4546.0,4547.3,4544.8,4545.1,357.0
2026-05-21 04:50:00,1779310200,4545.6,4546.6,4544.4,4545.5,347.0
2026-05-21 04:55:00,1779310500,4545.4,4547.2,4545.1,4546.1,259.0
2026-05-21 06:00:00,1779314400,4546.4,4549.2,4543.7,4545.5,721.0
2026-05-21 06:05:00,1779314700,4545.4,4547.6,4539.7,4540.6,703.0
2026-05-21 06:10:00,1779315000,4540.7,4543.4,4539.5,4541.2,732.0
2026-05-21 06:15:00,1779315300,4541.0,4541.4,4537.9,4538.6,747.0
2026-05-21 06:20:00,1779315600,4538.8,4539.5,4535.7,4538.0,613.0
2026-05-21 06:25:00,1779315900,4537.5,4540.3,4537.1,4540.1,322.0
2026-05-21 06:30:00,1779316200,4539.9,4544.0,4539.7,4542.1,676.0
2026-05-21 06:35:00,1779316500,4542.5,4545.0,4541.5,4543.9,349.0
2026-05-21 06:40:00,1779316800,4543.6,4544.1,4541.2,4543.1,339.0
2026-05-21 06:45:00,1779317100,4543.1,4545.8,4541.6,4542.4,585.0
2026-05-21 06:50:00,1779317400,4542.2,4543.1,4538.0,4541.6,906.0
2026-05-21 06:55:00,1779317700,4541.9,4542.8,4538.9,4541.3,589.0
2026-05-21 07:00:00,1779318000,4540.7,4543.0,4540.7,4542.9,250.0
2026-05-21 07:05:00,1779318300,4543.1,4544.3,4539.4,4539.5,600.0
2026-05-21 07:10:00,1779318600,4539.4,4541.5,4538.8,4540.8,311.0
2026-05-21 07:15:00,1779318900,4540.8,4541.6,4539.8,4540.0,249.0
2026-05-21 07:20:00,1779319200,4540.0,4540.1,4537.3,4538.2,439.0
2026-05-21 07:25:00,1779319500,4538.3,4539.7,4535.5,4539.6,709.0
2026-05-21 07:30:00,1779319800,4539.8,4542.5,4538.9,4541.0,500.0
2026-05-21 07:35:00,1779320100,4541.3,4546.8,4540.9,4546.5,706.0
2026-05-21 07:40:00,1779320400,4546.4,4546.4,4543.7,4544.0,432.0
2026-05-21 07:45:00,1779320700,4543.9,4548.7,4543.0,4546.4,794.0
2026-05-21 07:50:00,1779321000,4546.5,4546.8,4543.5,4546.0,505.0
2026-05-21 07:55:00,1779321300,4546.4,4548.0,4545.0,4548.0,377.0
2026-05-21 08:00:00,1779321600,4548.1,4550.3,4540.7,4543.7,1634.0
2026-05-21 08:05:00,1779321900,4543.6,4546.7,4541.5,4545.8,784.0
2026-05-21 08:10:00,1779322200,4545.9,4547.2,4544.0,4546.0,594.0
2026-05-21 08:15:00,1779322500,4546.2,4554.9,4541.1,4547.6,2467.0
2026-05-21 08:20:00,1779322800,4547.1,4547.9,4540.5,4542.8,1102.0
2026-05-21 08:25:00,1779323100,4542.7,4546.9,4538.8,4545.3,1430.0
2026-05-21 08:30:00,1779323400,4545.4,4547.1,4541.1,4546.3,845.0
2026-05-21 08:35:00,1779323700,4546.2,4546.9,4543.7,4543.8,441.0
2026-05-21 08:40:00,1779324000,4544.1,4545.7,4543.1,4545.4,317.0
2026-05-21 08:45:00,1779324300,4545.1,4546.8,4543.7,4546.1,465.0
2026-05-21 08:50:00,1779324600,4545.9,4550.6,4545.3,4548.8,829.0
2026-05-21 08:55:00,1779324900,4549.3,4550.1,4546.7,4547.0,535.0
2026-05-21 09:00:00,1779325200,4547.0,4551.5,4541.4,4545.4,2430.0
2026-05-21 09:05:00,1779325500,4545.2,4552.9,4542.5,4551.6,1247.0
2026-05-21 09:10:00,1779325800,4551.5,4562.2,4551.1,4561.4,3605.0
2026-05-21 09:15:00,1779326100,4561.7,4563.6,4559.9,4561.4,2015.0
2026-05-21 09:20:00,1779326400,4561.2,4569.8,4558.9,4567.0,2033.0
2026-05-21 09:25:00,1779326700,4567.2,4569.8,4562.4,4568.9,1322.0
2026-05-21 09:30:00,1779327000,4568.9,4571.5,4563.8,4564.4,1790.0
